hora,data,umidade_solo,umidade,temperatura
17:50:13,08/03/2022,1001.00,66.00,26.00
17:50:15,08/03/2022,1001.00,66.00,26.00
17:50:17,08/03/2022,1001.00,66.00,26.00
17:50:20,08/03/2022,1001.00,66.00,26.00
17:50:22,08/03/2022,1001.00,66.00,26.00
17:50:24,08/03/2022,1001.00,66.00,26.00
17:50:26,08/03/2022,1001.00,65.00,26.00
17:50:29,08/03/2022,1001.00,65.00,26.00
17:50:31,08/03/2022,1001.00,65.00,26.00
17:50:33,08/03/2022,1003.00,65.00,26.00
17:50:36,08/03/2022,1000.00,65.00,26.00
17:50:38,08/03/2022,1000.00,64.00,26.00
17:50:40,08/03/2022,1001.00,64.00,26.00
17:50:43,08/03/2022,1000.00,64.00,26.00
17:50:45,08/03/2022,1001.00,64.00,26.00
17:50:47,08/03/2022,1001.00,64.00,26.00
